direccion_id,calle,numero_exterior,numero_interior,colonia,código_postal,ciudad,estado,pais,otros
,1 rue Alsace-Lorraine,1,,No especifica,40620,Toulouse,No especifica,France,
,12 Orchestra Terrace,12,,No especifica,72299,Walla Walla,WA,USA,
,"12, rue des Bouchers",12,,No especifica,10368,Marseille,No especifica,France,
,120 Hanover Sq.,120,,No especifica,60155,London,No especifica,UK,
,"184, chausse de Tournai",184,,No especifica,55769,Lille,No especifica,France,
,187 Suffolk Ln.,187,,No especifica,78271,Boise,ID,USA,
,1900 Oak St.,1900,,No especifica,85240,Vancouver,BC,Canada,
,"2, rue du Commerce",2,,No especifica,46913,Helsinki,No especifica,,
,23 Tsawassen Blvd.,23,,No especifica,31994,Tsawassen,BC,Canada,
,"24, place Klber",24,,No especifica,72584,Strasbourg,No especifica,France,
,"25, rue Lauriston",25,,No especifica,43635,Paris,No especifica,France,
,"265, boulevard Charonne",265,,No especifica,26346,Paris,No especifica,France,
,2732 Baker Blvd.,2732,,No especifica,87535,Eugene,OR,USA,
,2743 Bering St.,2743,,No especifica,79901,Anchorage,AK,USA,
,2817 Milton Dr.,2817,,No especifica,85182,Albuquerque,NM,USA,
,305 - 14th Ave. S. Suite 3B,305,3,No especifica,62245,Oulu,No especifica,Finland,
,35 King George,35,,No especifica,13216,London,No especifica,UK,
,43 rue St. Laurent,43,,No especifica,18465,Montral,Qubec,Canada,
,5 Ave. Los Palos Grandes,5,,No especifica,68441,Caracas,DF,Venezuela,
,"54, rue Royale",54,,No especifica,63117,Nantes,No especifica,France,
,55 Grizzly Peak Rd.,55,,No especifica,39549,Butte,MT,USA,
,59 rue de l'Abbaye,59,,No especifica,21955,Warszawa,No especifica,,
,"67, avenue de l'Europe",67,,No especifica,42768,Versailles,No especifica,France,
,"67, rue des Cinquante Otages",67,,No especifica,56274,Nantes,No especifica,France,
,722 DaVinci Blvd.,722,,No especifica,13113,Kirkland,WA,USA,
,8 Johnstown Road,8,,No especifica,47847,Cork,Co. Cork,Ireland,
,87 Polk St. Suite 5,87,,No especifica,11981,San Francisco,CA,USA,
,89 Chiaroscuro Rd.,89,,No especifica,29410,Portland,OR,USA,
,89 Jefferson Way Suite 2,89,,No especifica,44919,Portland,OR,USA,
,90 Wadhurst Rd.,90,,No especifica,43827,London,No especifica,UK,
,Adenauerallee 900,900,,No especifica,86925,Lyon,No especifica,France,
,"Alameda dos Canrios, 891",891,,No especifica,36965,Sao Paulo,SP,Brazil,
,"Av. Brasil, 442",442,,No especifica,68328,Campinas,SP,Brazil,
,"Av. Copacabana, 267",267,,No especifica,34941,Rio de Janeiro,RJ,Brazil,
,Av. del Libertador 900,900,,No especifica,71252,Buenos Aires,No especifica,Argentina,
,"Av. dos Lusadas, 23",23,,No especifica,84473,Sao Paulo,SP,Brazil,
,"Av. Ins de Castro, 414",414,,No especifica,14942,Sao Paulo,SP,Brazil,
,Avda. Azteca 123,123,,No especifica,78040,Mxico D.F.,Mxico D.F.,Mexico,
,Avda. de la Constitucin 2222,2222,,No especifica,71760,Mxico D.F.,Mxico D.F.,Mexico,
,Ave. 5 de Mayo Porlamar,5,,No especifica,20768,I. de Margarita,Nueva Esparta,Venezuela,
,Berguvsvgen  8,8,,No especifica,26468,Lule,No especifica,Sweden,
,Berkeley Gardens 12  Brewery,12,,No especifica,61775,London,No especifica,UK,
,Berliner Platz 43,43,,No especifica,21914,Mnchen,No especifica,Germany,
,"Boulevard Tirou, 255",255,,No especifica,86215,Charleroi,No especifica,Belgium,
,"C/ Araquil, 67",67,,No especifica,11697,Madrid,No especifica,Spain,
,"C/ Moralzarzal, 86",86,,No especifica,77528,Madrid,No especifica,Spain,
,"C/ Romero, 33",33,,No especifica,18057,Sevilla,No especifica,Spain,
,Calle Dr. Jorge Cash 321,321,,No especifica,19460,Mxico D.F.,Mxico D.F.,Mexico,
,Carrera 22 con Ave. Carlos Soublette #8-35,22,8,No especifica,50156,San Cristbal,Tchira,Venezuela,
,Carrera 52 con Ave. Bolvar #65-98 Llano Largo,52,,No especifica,76914,Barquisimeto,Lara,Venezuela,
,Cerrito 333,333,,No especifica,41756,Buenos Aires,No especifica,Argentina,
,City Center Plaza 516 Main St.,516,,No especifica,47913,Elgin,OR,USA,
,Erling Skakkes gate 78,78,,No especifica,68136,Stavern,No especifica,Norway,
,Estrada da sade n. 58,58,,No especifica,11380,Lisboa,No especifica,Portugal,
,Fauntleroy Circus,100,,No especifica,12425,London,No especifica,UK,
,Forsterstr. 57,57,,No especifica,29719,Mannheim,No especifica,Germany,
,Garden House Crowther Way,5,,No especifica,52697,Cowes,Isle of Wight,UK,
,Geislweg 14,14,,No especifica,34435,Salzburg,No especifica,Austria,
,"Gran Va, 1",1,,No especifica,61601,Madrid,No especifica,Spain,
,Grenzacherweg 237,237,,No especifica,83335,Genve,No especifica,Switzerland,
,Hauptstr. 29,29,,No especifica,23662,Bern,No especifica,Switzerland,
,Heerstr. 22,22,,No especifica,73900,Leipzig,No especifica,Germany,
,Ing. Gustavo Moncada 8585 Piso 20-A,8585,20,No especifica,83428,Buenos Aires,No especifica,Argentina,
,Jardim das rosas n. 32,32,,No especifica,87099,Lisboa,No especifica,Portugal,
,kergatan 24,24,,No especifica,83154,Brcke,No especifica,Sweden,
,Keskuskatu 45,45,,No especifica,25873,Resende,SP,Brazil,
,Kirchgasse 6,6,,No especifica,59319,Graz,No especifica,Austria,
,Luisenstr. 48,78,,No especifica,32205,Mnster,No especifica,Germany,
,Magazinweg 7,7,,No especifica,69129,Frankfurt a.M.,,Germany,
,Mataderos  2312,2312,,No especifica,37179,Mxico D.F.,Mxico D.F.,Mexico,
,Maubelstr. 90,90,,No especifica,73705,Brandenburg,No especifica,Germany,
,Mehrheimerstr. 369,369,,No especifica,46012,Kln,No especifica,Germany,
,Obere Str. 57,57,,No especifica,30071,Berlin,No especifica,Germany,
,P.O. Box 555,555,,No especifica,26230,Lander,WY,USA,
,"Rambla de Catalua, 23",23,,No especifica,38184,Barcelona,No especifica,Spain,
,"Rua da Panificadora, 12",12,,No especifica,37964,Rio de Janeiro,RJ,Brazil,
,"Rua do Mercado, 12",12,,No especifica,10549,Stuttgart,No especifica,Germany,
,"Rua do Pao, 67",67,,No especifica,22071,Rio de Janeiro,RJ,Brazil,
,"Rua Ors, 92",92,,No especifica,16799,Sao Paulo,SP,Brazil,
,Rue Joseph-Bens 532,532,,No especifica,32742,Bruxelles,No especifica,Belgium,
,Sierras de Granada 9993,9993,,No especifica,45792,Mxico D.F.,No especifica,Mexico,
,Smagsloget 45,45,,No especifica,88442,rhus,No especifica,Denmark,
,South House 300 Queensbridge,300,,No especifica,77552,London,No especifica,UK,
,Strada Provinciale 124,124,,No especifica,47511,Reggio Emilia,No especifica,Italy,
,Taucherstrae 10,10,,No especifica,86041,Cunewalde,No especifica,Germany,
,Torikatu 38,38,,No especifica,18047,Reims,No especifica,France,
,ul. Filtrowa 6+B7:B928,68,,No especifica,33192,Seattle,WA,USA,
,Via Ludovico il Moro 22,22,,No especifica,82459,Bergamo,No especifica,Italy,
,Via Monte Bianco 34,34,,No especifica,87116,Torino,No especifica,Italy,
,Vinbltet 34,34,,No especifica,59536,Kobenhavn,No especifica,Denmark,
,Walserweg 21,21,,No especifica,20796,Aachen,No especifica,Germany,
